batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch5,220,E,በዓለ ወልድ,ኢየሱስ ክርስቶስ,AM-MEL-002,መልክአ ኢየሱስ በአማርኛ,አማርኛ,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",Sinksar Canonical Cycle,verified
Batch5,221,E,በዓለ ወልድ,ኢየሱስ ክርስቶስ,AM-TAM-001,ተአምረ ኢየሱስ በአማርኛ,አማርኛ,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",Sinksar Canonical Cycle,verified
Batch5,222,E,በዓለ ወልድ,ኢየሱስ ክርስቶስ,GZ-MEL-131,መልክዐ ኢየሱስ በግእዝ,ግእዝ,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",Sinksar Canonical Cycle,verified
Batch5,223,E,በዓለ ወልድ,ኢየሱስ ክርስቶስ,GZ-MEL-132,መልክዐ ኢየሱስ ካልዕ በግእዝ,ግእዝ,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",Sinksar Canonical Cycle,verified
Batch5,224,E,በዓለ ወልድ,ኢየሱስ ክርስቶስ,GZ-MZM-001,መዝሙረ ክርስቶስ በግእዝ,ግእዝ,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",Sinksar Canonical Cycle,verified
Batch5,225,E,በዓለ ወልድ,ኢየሱስ ክርስቶስ,GZ-MZM-002,መዝሙረ ክርስቶስ ካልዕ በግእዝ,ግእዝ,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",Sinksar Canonical Cycle,verified
Batch5,226,E,በዓለ ወልድ,ኢየሱስ ክርስቶስ,GZ-MZM-003,መዝሙረ ክርስቶስ ዘመኃልየ መኃልይ። በግእዝ,ግእዝ,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",Sinksar Canonical Cycle,verified
Batch5,227,E,በዓለ ወልድ,ኢየሱስ ክርስቶስ,GZ-TAM-002,ተአምረ ኢየሱስ በግእዝ,ግእዝ,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",Sinksar Canonical Cycle,verified
Batch5,228,E,በዓለ ወልድ,ኢየሱስ ክርስቶስ,TI-TAM-001,ተአምረ ኢየሱስ ብትግርኛ,ትግርኛ,"ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29",Sinksar Canonical Cycle,verified
Batch5,229,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,AM-GDL-018,ገድለ ቅዱስ ጊዮርጊስ ሰማዕት በአማርኛ,አማርኛ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,230,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,AM-MEL-051,የቅዱስ ጊዮርጊስ መልክዕ በአማርኛ,አማርኛ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,231,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,AM-MEL-065,ጸሎተ መልክዐ ሥቃዩ ለቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት በአማርኛ,አማርኛ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,232,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,AM-MEL-066,ጸሎተ መልክዕ ዘቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት በአማርኛ,አማርኛ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,233,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,AM-MEL-067,ጸሎተ መልክዕ ዘቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት ካልዕ በአማርኛ,አማርኛ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,234,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,AM-SIB-001,ስብሐተ ፍቁር ዘቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት በአማርኛ,አማርኛ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,235,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,GZ-GDL-014,ገድለ ቅዱስ ጊዮርጊስ ሰማዕት በግእዝ,ግእዝ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,236,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,GZ-MEL-036,መልክዐ ሥቃዩ ለጊዮርጊስ በግእዝ,ግእዝ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,237,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,GZ-MEL-065,መልክዐ ቅዱስ ጊዮርጊስ በግእዝ,ግእዝ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,238,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,GZ-MEL-154,መልክዐ ጊዮርጊስ በግእዝ,ግእዝ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,239,E,ቅዱስ ጊዮርጊስ,ቅዱስ ጊዮርጊስ,GZ-MEL-155,መልክዐ ጊዮርጊስ ካልዕ ወሥቃዩ በግእዝ,ግእዝ,"ኅዳር 7, ጥር 18, የካቲት 23, ሚያዝያ 23, ነሐሴ 16 / Monthly Day 23",Sinksar Canonical Cycle,verified
Batch5,240,E,ቅዱስ ዮሐንስ ወንጌላዊ,ቅዱስ ዮሐንስ ወንጌላዊ,AM-GDL-013,የቅዱስ ዮሐንስ ገድል በአማርኛ,አማርኛ,"መስከረም 4, መስከረም 29, ጥር 4, ግንቦት 16, ሐምሌ 27 / Monthly Day 4",Sinksar Canonical Cycle,verified
Batch5,241,E,ቅዱስ ዮሐንስ ወንጌላዊ,ቅዱስ ዮሐንስ ወንጌላዊ,AM-MEL-016,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ,አማርኛ,"መስከረም 4, መስከረም 29, ጥር 4, ግንቦት 16, ሐምሌ 27 / Monthly Day 4",Sinksar Canonical Cycle,verified
Batch5,242,E,ቅዱስ ዮሐንስ ወንጌላዊ,ቅዱስ ዮሐንስ ወንጌላዊ,AM-MEL-047,የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ,አማርኛ,"መስከረም 4, መስከረም 29, ጥር 4, ግንቦት 16, ሐምሌ 27 / Monthly Day 4",Sinksar Canonical Cycle,verified
