  AM-SEL-001 | annual=12/1,12/2,12/3,12/4,12/5,12/6,12/7,12/8,12/9,12/10,12/11,12/12,12/13,12/14,12/15,12/16 | monthly=- | rows=16
  GZ-SEL-001 | annual=12/1,12/2,12/3,12/4,12/5,12/6,12/7,12/8,12/9,12/10,12/11,12/12,12/13,12/14,12/15,12/16 | monthly=- | rows=16
  GZ-MEL-163 | annual=12/1,12/2,12/3,12/4,12/5,12/6,12/7,12/8,12/9,12/10,12/11,12/12,12/13,12/14,12/15,12/16 | monthly=- | rows=16
  AM-MEL-032 | annual=1/26,3/5 | monthly=21 | rows=14
  GZ-MEL-037 | annual=1/26,3/5 | monthly=21 | rows=14
  TI-MEL-001 | annual=1/26,3/5 | monthly=21 | rows=14
  AM-MEL-033 | annual=11/2,11/29 | monthly=2 | rows=14
  GZ-MEL-055 | annual=11/2,11/29 | monthly=2 | rows=14
  AM-MEL-036 | annual=12/16 | monthly=- | rows=1
  AM-MEL-037 | annual=4/2,4/19,9/10 | monthly=- | rows=3
  GZ-MEL-047 | annual=4/2,4/19,9/10 | monthly=- | rows=3
  AM-MEL-042 | annual=2/30,8/30 | monthly=30 | rows=12
  GZ-MEL-030 | annual=2/30,8/30 | monthly=30 | rows=12
  GZ-MEL-053 | annual=2/30,8/30 | monthly=30 | rows=12
  AM-MEL-043 | annual=13/3 | monthly=13 | rows=13
  GZ-DRS-009 | annual=13/3 | monthly=13 | rows=13
  GZ-MEL-006 | annual=13/3 | monthly=13 | rows=13
  AM-MEL-044 | annual=1/26,12/1 | monthly=1 | rows=14
  GZ-MEL-057 | annual=1/26,12/1 | monthly=1 | rows=14
