month,day,kind,position,sinksar_name
8,13,annual,3,ቅዱስ መናድሌዎስ
8,13,annual,4,አባ አኮላቲሞስ
8,13,monthly,3,"""99ኙ"" ነገደ መላዕክት"
8,13,monthly,4,ቅዱስ አስከናፍር
8,13,monthly,5,"""፲፫ቱ"" ግኁሳን አባቶች"
8,13,monthly,6,ቅዱስ አርሳንዮስ ጠቢብ ገዳማዊ
8,19,annual,1,ቅዱስ ስምዖን ሰማዕት (አርማንያዊ)
8,19,annual,2,"""፲፭0"" ቅዱሳን ሰማዕታት (የስምዖን ማሕበር)"
8,19,monthly,2,ቅዱስ ኤስድሮስ ሰማዕት
9,1,annual,1,እመቤታችን ቅድስት ድንግል ማርያም (ልደታ)
9,1,annual,3,ቴክታና በጥሪቃ
9,1,annual,4,አባ ሕርያቆስ ዘሃገረ ብሕንሳ (የእመቤታችንን ቅዳሴ የደረሰበት)
9,1,monthly,2,ቅዱስ በርተሎሜዎስ ሐዋርያ
9,1,monthly,3,ቅዱስ ሚልኪ ትሩፈ ምግባር
9,7,annual,1,ቅዱስ አትናቴዎስ ሐዋርያዊ
9,7,annual,2,የባሕታውያን አለቃ ታላቁ አባ ሲኖዳ (ጽንሰቱ)
9,7,annual,4,አባ ሐርስዮስ ገዳማዊ
9,28,annual,1,ቅድስት ዓመተ ክርስቶስ ተጋዳሊት (ገዳማዊት)
9,28,annual,2,ቅዱስ ኤዺፋንዮስ ሊቅ (ሥጋው ቆዽሮስ የደረሰበት)
9,28,annual,3,አባ መርቆሬዎስ ገዳማዊ
9,28,annual,4,አባ ጌርሎስ (ጻድቅና ሰማዕት)
9,28,annual,5,"""፬፭"" ሰማዕታት (የአባ ጌርሎስ ደቀ መዛሙርት)"
9,28,annual,6,ቅዱስ አጋቦስ ሰማዕት
9,28,monthly,3,ቅዱስ እንድራኒቆስና ሚስቱ ቅድስት አትናስያ
9,28,monthly,4,ቅዱስ ቴዎድሮስ ሮማዊ (ሰማዕት)
10,18,annual,1,አባ ድምያኖስ ጻድቅ ሊቀ ዻዻሳት
10,18,annual,2,ቅዱስ ኤስድሮስ ሰማዕት
10,18,monthly,1,ቅዱስ ፊልዾስ ሐዋርያ
10,18,monthly,2,አቡነ ኤዎስጣቴዎስ ሰባኬ ሃይማኖት (ረባን)
10,18,monthly,3,አቡነ አኖሬዎስ ዘደብረ ጽጋጋ
10,18,monthly,4,ማር ያዕቆብ ግብፃዊ
10,21,annual,1,እመቤታችን ቅድስት ድንግል ማርያም
10,21,annual,2,ቅድስት ቤተ ክርስቲያን
10,21,annual,3,ቅዱሳን ሐዋርያት
10,21,annual,4,ቅዱስ ጴጥሮስ ሊቀ ሐዋርያት
10,21,annual,5,ቅዱሳን ጳውሎስና በርናባስ
10,21,annual,6,ቅዱስ ቶማስ ሐዋርያ
10,21,annual,7,ቅዱስ ባስልዮስ ዘቂሣርያ
10,21,annual,8,ቅዱስ ጢሞቴዎስ ዘምስር (ሰማዕት)
10,21,annual,9,አባ ከላድያኖስ ሊቀ ጳጳሳት
10,21,monthly,1,አበው ጎርጎርዮሳት
10,21,monthly,4,አባ አሮን ሶርያዊ
10,21,monthly,5,አባ መርትያኖስ ጻድቅ
