type,book_id,title,detail,sinksar_name,app_notes,shared,coverage,expected
A_annual_vs_monthly,AM-MEL-018,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በአማርኛ,4/29,ልደተ ክርስቶስ ስቡሕ,MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MEL-066,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በግእዝ,4/29,ልደተ ክርስቶስ ስቡሕ,MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MEL-060,መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,4/30,አባ ዮሐንስ አበ ምኔት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-048,የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ,4/30,አባ ዮሐንስ አበ ምኔት,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-060,መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,4/30,አባ ዮሐንስ ብጹዕ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-048,የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ,4/30,አባ ዮሐንስ ብጹዕ,MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-021,መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ,5/16,አባ ዮሐንስ መሐሪ (ሊቀ ዻዻሳት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-008,መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ,5/27,ቅዱስ ሱርያል ሊቀ መላዕክት (ከ፯ቱ ሊቃናት አንዱ),MONTHLY,ሱርያል,,
A_annual_vs_monthly,GZ-MZM-001,መዝሙረ ክርስቶስ በግእዝ,6/29,ቅድስት ፍቅርተ ክርስቶስ ኢትዮዽያዊት,MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MZM-002,መዝሙረ ክርስቶስ ካልዕ በግእዝ,6/29,ቅድስት ፍቅርተ ክርስቶስ ኢትዮዽያዊት,MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MZM-003,መዝሙረ ክርስቶስ ዘመኃልየ መኃልይ። በግእዝ,6/29,ቅድስት ፍቅርተ ክርስቶስ ኢትዮዽያዊት,MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MZM-001,መዝሙረ ክርስቶስ በግእዝ,6/29,ቅዱስ ዘርዐ ክርስቶስ (ጻድቅና ሰማዕት),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MZM-002,መዝሙረ ክርስቶስ ካልዕ በግእዝ,6/29,ቅዱስ ዘርዐ ክርስቶስ (ጻድቅና ሰማዕት),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MZM-003,መዝሙረ ክርስቶስ ዘመኃልየ መኃልይ። በግእዝ,6/29,ቅዱስ ዘርዐ ክርስቶስ (ጻድቅና ሰማዕት),MONTHLY,ክርስቶስ,,
A_annual_vs_monthly,GZ-MEL-060,መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,7/30,ቅዱስ ዮሐንስ ዘአክሱም (ድርሳነ ሚካኤልን መጻፉ የሚነገርለት አባት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-048,የቅዱስ ዮሐንስ መጥምቅ መልክዕ በአማርኛ,7/30,ቅዱስ ዮሐንስ ዘአክሱም (ድርሳነ ሚካኤልን መጻፉ የሚነገርለት አባት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-054,የአቡነ ሳሙኤል ዘዋልድባ መልክዕ በአማርኛ,8/12,አቡነ ሳሙኤል ዘቆየጻ (ኢትዮዽያዊ),MONTHLY,ሳሙኤል,,
A_annual_vs_monthly,AM-MEL-055,የአቡነ ሳሙኤል ዘዋልድባ ኹለተኛ መልክዕ በአማርኛ,8/12,አቡነ ሳሙኤል ዘቆየጻ (ኢትዮዽያዊ),MONTHLY,ሳሙኤል,,
