book_id,language_id,category_id,main_category_id,sub_category_id,subject_category,title,total_chapters,weekday_chapter_count,weekday_chapters,matched_mapped_books,matched_csv_groups,unmapped_cluster
GZ-MEL-109,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ዮሐንስ ከማ በግእዝ,1,0,,,,
GZ-MEL-110,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ዮሐንስ ዘድብረ ዳጋ በግእዝ,1,0,,,,
GZ-MEL-113,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ዮናስ ዘደብረ ድኁኃን ዘደብረ ጽጌ ወዘደብረ ጽዮን በግእዝ,1,0,,AM-GDL-022 (ጽዮን) ; GZ-MEL-089 (ወዘደብረ) ; GZ-MEL-161 (ጽዮን),,GZ-MEL-070
GZ-MEL-115,GZ,MEL,MC-06,SC-06-03,TESATU,መልክዐ አቡነ ጰንጠሌዎን በግእዝ,1,0,,,,
GZ-MEL-120,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ ፊልጶስ ዘደብረ ቢዘን በግእዝ,1,0,,GZ-GDL-011 (ፊልጶስ) ; GZ-MEL-118 (ፊልጶስ),,"GZ-GDL-001,GZ-MEL-107"
GZ-MEL-135,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ኤዎስጣቴዎስ በግእዝ,1,0,,,,
GZ-MEL-138,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ እንጦንዮስ በግእዝ,1,0,,,,
GZ-MEL-139,GZ,MEL,MC-06,SC-06-01,AMLAK,መልክዐ እግዚአብሔር አብ በግእዝ,1,0,,,,GZ-MEL-140
GZ-MEL-140,GZ,MEL,MC-06,SC-06-01,AMLAK,መልክዐ እግዚአብሔር አብ ካልዕ በግእዝ,1,0,,,,GZ-MEL-139
GZ-MEL-142,GZ,MEL,MC-06,SC-06-01,MALAKT,መልክዐ ካህናተ ሰማይ በግእዝ,1,0,,,,
GZ-MEL-146,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ያሬድ በግእዝ,1,0,,,,"GZ-GDL-021,GZ-MEL-147"
GZ-MEL-147,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ያሬድ ካልዕ በግእዝ,1,0,,,,"GZ-GDL-021,GZ-MEL-146"
GZ-MEL-148,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ይምርሃነ ክርስቶስ በግእዝ,1,0,,AM-GDL-005 (ክርስቶስ) ; AM-GDL-014 (ክርስቶስ) ; AM-MEL-018 (ክርስቶስ) ; AM-MEL-060 (ክርስቶስ) ; AM-MIK-001 (ክርስቶስ),"ቅድስት ክርስቶስ ሠምራ [መስከረም 24, ግንቦት 12, ነሐሴ 24 / Monthly Day 24] (ክርስቶስ) ; ቅድስት ፍቅርተ ክርስቶስ [የካቲት 29, መጋቢት 29 / Monthly Day 29] (ክርስቶስ) ; አቡነ እስትንፋሰ ክርስቶስ [የካቲት 9, ሚያዝያ 9 / Monthly Day 9] (ክርስቶስ) ; ኢየሱስ ክርስቶስ [ታኅሣሥ 29, መጋቢት 29 / Monthly Day 29] (ክርስቶስ)",GZ-MEL-153
