batch,section,group,book_id,title,language,final_dates,annual_dates_must_be_1,monthly_days,db_dates_is_annual_1,db_dates_is_annual_0,overlap_annual_plus_monthly_must_be_1,count_1,count_0,rows_expected,rows_in_db,flag_status,problem
Batch1,B,አቡነ አባለ ክርስቶስ,GZ-MEL-096,መልክዐ አቡነ አባለ ክርስቶስ በግእዝ,ግእዝ,"ታኅሣሥ 19, የካቲት 19","ታኅሣሥ 19, የካቲት 19",,"ታኅሣሥ 19, የካቲት 19",,,2,0,2,2,PASS,
Batch1,B,አቡነ አባለ ክርስቶስ,AM-MEL-060,የአቡነ አባለ ክርስቶስ ጻድቅ መልክዕ በአማርኛ,አማርኛ,"ታኅሣሥ 19, የካቲት 19","ታኅሣሥ 19, የካቲት 19",,"ታኅሣሥ 19, የካቲት 19",,,2,0,2,2,PASS,
Batch1,B,አብርሃም,GZ-MEL-098,መልክዐ አቡነ አብርሃም በግእዝ,ግእዝ,"ሐምሌ 7, ነሐሴ 28","ሐምሌ 7, ነሐሴ 28",,"ሐምሌ 7, ነሐሴ 28",,,2,0,2,2,PASS,
Batch1,B,አብርሃም,AM-MEL-063,የአባታችን አብርሃም መልክዕ በአማርኛ,አማርኛ,"ሐምሌ 7, ነሐሴ 28","ሐምሌ 7, ነሐሴ 28",,"ሐምሌ 7, ነሐሴ 28",,,2,0,2,2,PASS,
Batch1,B,መልከ ጼዴቅ,GZ-MEL-075,መልክዐ አቡነ መልከ ጼዴቅ በግእዝ,ግእዝ,"ግንቦት 4, ጳጉሜን 3 / Monthly Day 9","ግንቦት 4, ጳጉሜን 3",9,"ግንቦት 4, ጳጉሜን 3","መስከረም 9, ጥቅምት 9, ኅዳር 9, ታኅሣሥ 9, ጥር 9, የካቲት 9, መጋቢት 9, ሚያዝያ 9, ግንቦት 9, ሰኔ 9, ሐምሌ 9, ነሐሴ 9",,2,12,14,14,PASS,
Batch1,B,መልከ ጼዴቅ,AM-MEL-068,የአቡነ መልከ ጼዴቅ መልክእ በአማርኛ,አማርኛ,"ግንቦት 4, ጳጉሜን 3 / Monthly Day 9","ግንቦት 4, ጳጉሜን 3",9,"ግንቦት 4, ጳጉሜን 3","መስከረም 9, ጥቅምት 9, ኅዳር 9, ታኅሣሥ 9, ጥር 9, የካቲት 9, መጋቢት 9, ሚያዝያ 9, ግንቦት 9, ሰኔ 9, ሐምሌ 9, ነሐሴ 9",,2,12,14,14,PASS,
Batch1,B,ቅዱስ ዮስጦስ,GZ-GDL-010,ገድለ ቅዱስ ዮስጦስ በግእዝ,ግእዝ,"የካቲት 10, ሐምሌ 17","የካቲት 10, ሐምሌ 17",,"የካቲት 10, ሐምሌ 17",,,2,0,2,2,PASS,
Batch1,B,ቅዱስ ዮስጦስ,GZ-MEL-063,መልክዐ ቅዱስ ዮስጦስ በግእዝ,ግእዝ,"የካቲት 10, ሐምሌ 17","የካቲት 10, ሐምሌ 17",,"የካቲት 10, ሐምሌ 17",,,2,0,2,2,PASS,
Batch1,B,አቡነ ፊልጶስ,GZ-GDL-011,ገድለ አቡነ ፊልጶስ በግእዝ,ግእዝ,ሐምሌ 28,ሐምሌ 28,,ሐምሌ 28,,,1,0,1,1,PASS,
Batch1,B,አቡነ ፊልጶስ,GZ-MEL-118,መልክዐ አቡነ ፊልጶስ በግእዝ,ግእዝ,ሐምሌ 28,ሐምሌ 28,,ሐምሌ 28,,,1,0,1,1,PASS,
