canonical_group,book_count,books,final_dates,sinksar_monthly_days,sinksar_annual_dates,tselot_rep_dates,unity_pass,missing_vs_verified,extra_vs_verified
ጰራቅሊጦስ,2,AM-MEL-029;GZ-MEL-157,Movable: ጰንጠቆስጤ / Monthly Day 7,,,"[(1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7)]",,,
ቅዱስ ታዴዎስ ሐዋርያ,2,AM-MEL-033;GZ-MEL-055,"ሐምሌ 2, ሐምሌ 29 / Monthly Day 2",,,"[(1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 29), (12, 2)]",,,
ሠለስቱ ደቂቅ,2,AM-MEL-037;GZ-MEL-047,"ታኅሣሥ 2, ታኅሣሥ 19, ግንቦት 10",,,"[(4, 2), (4, 19), (9, 10)]",,,
ቅዱስ አቦሊ ሰማዕት,2,AM-MEL-044;GZ-MEL-057,"መስከረም 26, ነሐሴ 1 / Monthly Day 1",,,"[(1, 1), (1, 26), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]",,,
ቅዱስ እንድርያስ ሐዋርያ,2,AM-MEL-046;GZ-MEL-137,"ታኅሣሥ 4, ሐምሌ 30, ነሐሴ 30 / Monthly Day 4",,,"[(1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (11, 30), (12, 4), (12, 30)]",,,
ቅዱስ ዳዊት ንጉሥ,2,AM-MEL-049;GZ-MEL-064,"ታኅሣሥ 23, ሚያዝያ 6 / Monthly Day 23",,,"[(1, 23), (2, 23), (3, 23), (4, 23), (5, 23), (6, 23), (7, 23), (8, 6), (8, 23), (9, 23), (10, 23), (11, 23), (12, 23)]",,,
አቡነ ዜና ማርቆስ,2,AM-MEL-062;GZ-MEL-106,ታኅሣሥ 3 / Monthly Day 3,,,"[(1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3)]",,,
ጸሎተ ንድራ,2,AM-TSE-006;GZ-TSE-003,ሚያዝያ 26 / Monthly Day 26 / Daily: ሁልጊዜ,,,[],,,
ውዳሴ አምላክ,2,AM-WUD-003;TI-WUD-002,"Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",,,[],,,
እግዚአብሔር አብ,2,GZ-MEL-139;GZ-MEL-140,Monthly Day 13,,,"[(1, 13), (2, 13), (3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (12, 13)]",,,
አቡነ ማቴዎስ ዘደብረ በርበሬ,2,GZ-MEL-081;GZ-MEL-080,ኅዳር 13,,,"[(3, 13)]",,,
ማርያም እንተ ዕፍረት,1,AM-GDL-002,"ጥቅምት 1, የካቲት 6",,,"[(2, 1), (6, 6)]",,,
ማርያም መግደላዊት,1,AM-GDL-003,"መጋቢት 29, ነሐሴ 6",,,"[(7, 29), (12, 6)]",,,
ኖላዊ ሔር,1,AM-MEL-001,"ታኅሣሥ 21 / Monthly Day 21 / Weekly: ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ / Daily: ሁልጊዜ",,,[],,,
አቡነ ገሪማ,1,AM-GDL-017,ሰኔ 17 / Monthly Day 17,,,"[(1, 17), (2, 17), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",,,
እጨጌ ዮሐንስ,1,AM-GDL-027,ሐምሌ 29,,,"[(11, 29)]",,,
ሰማዕታት,1,AM-GDL-010,"ኅዳር 4, የካቲት 12",,,"[(3, 4), (6, 12)]",,,
መዓዛ ቅዳሴ,1,AM-KID-001,,,,[],,,
አቡነ ዮሐንስ ጻድቅ,1,AM-MEL-021,"ጥር 20, ግንቦት 7, ሐምሌ 16 / Monthly Day 16",,,"[(1, 16), (2, 16), (3, 16), (4, 16), (5, 16), (5, 20), (6, 16), (7, 16), (8, 16), (9, 7), (9, 16), (10, 16), (11, 16), (12, 16)]",,,
ቅዱስ ጊጋር ሰማዕት,1,AM-MEL-036,ነሐሴ 16,,,"[(12, 16)]",,,
መንገደ ሰማይ,1,AM-MEN-001,ጸሎተ ፍትሐት (Funeral & Memorial Services),,,[],,,
ዜና አበው,1,AM-ZNA-002,"ኅዳር 4, ጥር 26",,,"[(3, 4), (5, 26)]",,,
አቡነ ፊልጶስ ዘደብረ ሊባኖስ,1,GZ-GDL-001,"ሐምሌ 28, መጋቢት 23",,,"[(7, 23), (11, 28)]",,,
ቅዱስ ቈጵርያኖስ ወቅድስት ኢዩስጣ,1,GZ-GDL-012,መስከረም 21,,,"[(1, 21)]",,,
አቡነ ፍሬ ሚካኤል,1,GZ-GDL-034,ኅዳር 3,,,"[(3, 3)]",,,
አባ ሊቃኖስ,1,GZ-MEL-003,ኅዳር 28,,,"[(3, 28)]",,,
