book_id,title,saint_core,sinksar_correct_dates,tselot_current_dates,missing_dates_to_add,extra_dates_to_remove,status
GZ-ZNA-002,ዜናሁ ለንጉሥ ገላውዴዎስ በግእዝ,ገላውዴዎስ,"[(6, 11), (7, 11), (8, 11), (9, 11)]","[(7, 27)]","[(6, 11), (7, 11), (8, 11), (9, 11)]","[(7, 27)]",MISMATCH
GZ-MEL-023,መልክዐ ሐዋርያት በግእዝ,ሐዋርያት,"[(10, 20), (10, 21), (12, 16)]","[(11, 5), (12, 15)]","[(10, 20), (10, 21), (12, 16)]","[(11, 5), (12, 15)]",MISMATCH
GZ-MEL-040,መልክዐ ሰማዕት ቅዱስ ቴዎድሮስ በግእዝ,ቴዎድሮስ,"[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]","[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]",MISMATCH
GZ-GDL-030,ገድለ ቅዱስ ቴዎድሮስ በግእዝ,ቴዎድሮስ,"[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]","[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]",MISMATCH
GZ-GDL-031,ገድለ ሰማዕት ቅዱስ ቴዎድሮስ በግእዝ,ቴዎድሮስ,"[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]","[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]",MISMATCH
GZ-GDL-032,መጽሐፈ ገድለ ቅዱሳን ሐዋርያት በግእዝ,ሐዋርያት,"[(10, 20), (10, 21), (12, 16)]","[(11, 5), (12, 15)]","[(10, 20), (10, 21), (12, 16)]","[(11, 5), (12, 15)]",MISMATCH
AM-ZNA-003,ዜና ሐዋርያት በአማርኛ,ሐዋርያት,"[(10, 20), (10, 21), (12, 16)]","[(11, 5), (12, 15)]","[(10, 20), (10, 21), (12, 16)]","[(11, 5), (12, 15)]",MISMATCH
AM-GDL-030,ገድለ ሰማዕት ቅዱስ ቴዎድሮስ በአማርኛ,ቴዎድሮስ,"[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]","[(4, 11), (7, 21), (10, 6)]","[(1, 12), (1, 20), (2, 12), (2, 20), (3, 5), (3, 12), (3, 20), (4, 12), (4, 20), (5, 12), (5, 20), (6, 12), (6, 20), (6, 28), (7, 12), (7, 20), (8, 12), (8, 20), (9, 12), (9, 20), (10, 12), (10, 20), (11, 12), (11, 20), (12, 12), (12, 20)]",MISMATCH
AM-LAH-001,ላሐ ማርያም በአማርኛ,ማርያም,"[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]",MISMATCH
AM-MEL-008,መልክዐ ማርያም ሣልሲት በአማርኛ,ማርያም,"[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]",MISMATCH
